MINISTRY/DEPARTMENT ,Total 
1. Department of Agriculture Cooperation and Farmers' Welfare,46700
2. Department of Agricultural Research and Education,7800
3. Department of Animal Husbandry Dairying and Fisheries,3100
4. Atomic Energy,13971.41
5. Ministry of Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH) ,1626.37
6. Department of Chemicals and Petrochemicals,199.65
7. Department of Fertilisers,70125.39
8. Department of Pharmaceuticals,261.53
9. Ministry of Civil Aviation,6602.86
10. Ministry of Coal,770.91
11. Department of Commerce,5251.7
12. Department of Industrial Policy and Promotion,6140.23
13. Department of Posts,11496.18
14. Department of Telecommunications,28055.28
15. Department of Consumer Affairs,1785.17
16. Department of Food and Public Distribution,174159.1
17. Ministry of Corporate Affairs,564.15
18. Ministry of Culture,2843.32
19. Ministry of Defence (Misc.),16206.09
20. Defence Services (Revenue),185323.19
21. Capital Outlay on Defence Services,93982.13
22. Defence Pensions,108853.3
23. Ministry of Development of North Eastern Region,3000
24. Ministry of Drinking Water and Sanitation,22356.6
25. Ministry of Earth Sciences,1800
26. Ministry of Electronics and Information Technology,6000
27. Ministry of Environment Forests and Climate Change,88.75
28. Ministry of External Affairs,15011
29. Department of Economic Affairs,12742.84
30. Department of Expenditure,413.33
31. Department of Financial Services,6577.06
32. Department of Investment and Public Asset Management,44
33. Department of Revenue,90736.44
34. Direct Taxes,6980
35. Indirect Taxes,7825
36. Indian Audit and Accounts Department,4305.7
37. Interest Payments,575794.95
38. Repayment of Debt,... 
39. Pensions,46430
40. Transfers to States,142857.5
41. Ministry of Food Processing Industries,1400
42. Department of Health and Family Welfare,52800
43. Department of Health Research,1800
44. Department of Heavy Industry,1125.73
45. Department of Public Enterprises,20.44
46. Ministry of Home Affairs,4793.36
47. Cabinet,770
48. Police,87886.5
Other Grants/Loans/Transfers ,... 
49. Andaman and Nicobar Islands,4523.86
50. Chandigarh,4084.83
51. Dadra and Nagar Haveli,1114.44
52. Daman and Diu,773.49
53. Lakshadweep,1360.31
54. Transfers to Delhi,790
Other Grants/Loans/Transfers ,790
55. Transfers to Puducherry,1476
56. Ministry of Housing and Urban Affairs,41765.13
57. Department of School Education and Literacy,50000
58. Department of Higher Education,35010.29
59. Ministry of Information and Broadcasting,4088.98
60. Ministry of Labour and Employment,7700
61. Law and Justice,4386.33
62. Election Commission,267.96
63. Supreme Court of India,251.06
64. Ministry of Micro Small and Medium Enterprises,6552.61
65. Ministry of Mines,1669.52
66. Ministry of Minority Affairs,4700
67. Ministry of New and Renewable Energy,5146.63
68. Ministry of Panchayati Raj,825.17
69. Ministry of Parliamentary Affairs,18.86
70. Ministry of Personnel Public Grievances and Pensions,1527
71. Central Vigilance Commission,32.61
72. Ministry of Petroleum and Natural Gas,31100.55
73. Ministry of Planning,339.65
74. Ministry of Power,15046.92
75. Staff Household and Allowances of the President,60.05
76. Lok Sabha,774.97
77. Rajya Sabha,387.94
78. Secretariat of the Vice-President,5.57
79. Union Public Service Commission,297.61
80. Ministry of Railways,55088
81. Ministry of Road Transport and Highways,71000
82. Department of Rural Development,112403.92
83. Department of Land Resources,2511.4
84. Department of Science and Technology,5114.78
85. Department of Biotechnology,2411.53
86. Department of Scientific and Industrial Research,4795.97
87. Ministry of Shipping,1881.13
88. Ministry of Skill Development and Entrepreneurship,3400
89. Department of Social Justice and Empowerment,7750
90. Department of Empowerment of Persons with Disabilities,1070
91. Department of Space,10783.42
92. Ministry of Statistics and Programme Implementation,4859
93. Ministry of Steel,47.9
94. Ministry of Textiles,7147.73
95. Ministry of Tourism,2150
96. Ministry of Tribal Affairs,6000
97. Ministry of Water Resources River Development and Ganga Rejuvenation ,8860
98. Ministry of Women and Child Development,24700
99. Ministry of Youth Affairs and Sports,2196.35
Grand Total ,2442213.30