MINISTRY/DEPARTMENT,Total
1.    Department of Agriculture and Farmers Welfare,115531.79
2.    Department of Agricultural Research and Education,9504.00
3.    Atomic Energy,25078.49
4.    Ministry of Ayush,3647.50
5.    Department of Chemicals and Petrochemicals,173.45
6.    Department of Fertilisers,175148.48
7.    Department of Pharmaceuticals,3160.06
8.    Ministry of Civil Aviation,3113.36
9.    Ministry of Coal,192.32
10.    Department of Commerce,5254.58
11.    Department for Promotion of Industry and Internal Trade,8200.63
12.    Department of Posts,25814.00
13.    Department of Telecommunications,97579.05
14.    Department of Consumer Affairs,250.66
15.    Department of Food and Public Distribution,205513.94
16.    Ministry of Cooperation,1150.38
17.    Ministry of Corporate Affairs,756.19
18.    Ministry of Culture,3399.65
19.    Ministry of Defence (Civil),22612.50
20.    Defence Services (Revenue),270120.14
21.    Capital Outlay on Defence Services,162600.00
22.    Defence Pensions,138205.00
23.    Ministry of Development of North Eastern Region,5892.00
24.    Ministry of Earth Sciences,3319.88
25.    Department of School Education and Literacy,68804.85
26.    Department of Higher Education,44094.62
27.    Ministry of Electronics and Information Technology,16549.04
28.    Ministry of Environment Forests and Climate Change,3079.4
29.    Ministry of External Affairs,18050.00
32.    Department of Financial Services,1324.64
33.    Department of Public Enterprises,33.05
34.    Department of Investment and Public Asset Management (DIPAM),94.92
35.    Department of Revenue,146347.68
36.    Direct Taxes,9890.87
37.    Indirect Taxes,38510.08
38.    Indian Audit and Accounts Department,5806.13
39.    Interest Payments,1079971.00
40.    Repayment of Debt,...
41.    Pensions,71701.00
42.    Transfers to States,324641.41
43.    Department of Fisheries,2248.77
44.    Department of Animal Husbandry and Dairying,4327.85
45.    Ministry of Food Processing Industries,3287.65
46.    Department of Health and Family Welfare,86175.00
47.    Department of Health Research,2980.00
48.    Ministry of Heavy Industries,6171.63
49.    Ministry of Home Affairs,5901.31
50.    Cabinet,1258.68
60.    Ministry of Housing and Urban Affairs,76431.60
61.    Ministry of Information and Broadcasting,4692.00
62.    Department of Water Resources River Development and Ganga Rejuvenation,20054.67
63.    Department of Drinking Water and Sanitation,77223.00
64.    Ministry of Labour and Employment,13221.73
65.    Law and Justice,3975.43
66.    Election Commission,340.00
67.    Supreme Court of India,437.15
68.    Ministry of Micro Small and Medium Enterprises,22137.95
69.    Ministry of Mines,1911.60
70.    Ministry of Minority Affairs,3097.60
71.    Ministry of New and Renewable Energy,10222.00
72.    Ministry of Panchayati Raj,1016.42
73.    Ministry of Parliamentary Affairs,63.00
74.    Ministry of Personnel Public Grievances and Pensions,2207.74
75.    Central Vigilance Commission,44.46
76.    Ministry of Petroleum and Natural Gas,41007.72
77.    Ministry of Planning,824.39
78.    Ministry of Ports Shipping and Waterways,2218.74
79.    Ministry of Power,20671.32
80.    Staff Household and Allowances of the President",90.14
81.    Lok Sabha,822.00
82.    Rajya Sabha,484.41
83.    Secretariat of the Vice-President,9.31
84.    Union Public Service Commission,380.00
85.    Ministry of Railways,241267.51
86.    Ministry of Road Transport and Highways,270434.71
87.    Department of Rural Development,157545.00
88.    Department of Land Resources,2419.23
89.    Department of Science and Technology,7931.05
90.    Department of Biotechnology,2683.86
91.    Department of Scientific and Industrial Research,5746.51
92.    Ministry of Skill Development and Entrepreneurship,3517.31
93.    Department of Social Justice and Empowerment,12847.02
94.    Department of Empowerment of Persons with Disabilities,1225.15
95.    Department of Space,12543.91
96.    Ministry of Statistics and Programme Implementation,5443.40
97.    Ministry of Steel,70.15
98.    Ministry of Textiles,4389.34
99.    Ministry of Tourism,2400.00
100.    Ministry of Tribal Affairs,12461.88
101.    Ministry of Women and Child Development,25448.75
102.    Ministry of Youth Affairs and Sports,3397.32
GRAND TOTAL,3944908.67